3736,5.88,NULL,NULL,NULL,NULL,5.88
3829,6,NULL,NULL,NULL,NULL,6
3849,6.48,East,NULL,0,6.48,6.48
3918,6.84,South;East,5.13,NULL,1.71,6.84
3967,6.12,South;West,3.24,2.88,NULL,6.12
4031,6.37,South;West,3.185,3.185,NULL,6.37
4154,NULL,NULL,NULL,NULL,NULL,0
4193,4.75,South;West,2.5,2.25,NULL,4.75
4297,4.165,South;West,1.96,2.205,NULL,4.165
4336,3.33,West,NULL,3.33,NULL,3.33
4352,5,South;West,NULL,2.5,NULL,5
4357,4,South,4,0,NULL,4
4373,6.125,South;West,NULL,3.92,NULL,6.125
4505,5.17,West,NULL,5.17,NULL,5.17
4514,6.11,South;West,3.76,2.35,NULL,6.11
4526,6.105,South;West,NULL,4.07,NULL,6.105
4767,5.5,South;West,3,2.5,NULL,5.5
4874,6.11,South;West,3.29,2.82,NULL,6.11
4957,6,NULL,NULL,NULL,NULL,6
5035,NULL,NULL,NULL,NULL,NULL,0
5129,5.145,South,5.145,0,NULL,5.145
5218,5.5,NULL,NULL,NULL,NULL,5.5
5275,6.125,South;West,NULL,3.92,NULL,6.125
5357,15.3,West,NULL,15.3,NULL,15.3
5395,3.96,South,3.96,NULL,NULL,3.96
5403,4.56,South;West,2.4,2.16,0,4.56
5439,4,South,4,0,NULL,4
5450,NULL,NULL,NULL,NULL,NULL,0
5545,1.2,East,NULL,NULL,1.2,1.2
5615,6.25,South;West,4,2.25,NULL,6.25
5658,NULL,NULL,NULL,NULL,NULL,0
5738,5.92,West,NULL,5.92,NULL,5.92
5749,3.2,East,NULL,NULL,3.2,3.2
5784,NULL,NULL,NULL,NULL,NULL,0
5785,6.37,South;West,1.96,4.41,NULL,6.37
5796,4.25,South,4.25,0,NULL,4.25
5817,6.125,South;West,2.94,3.185,NULL,6.125
5874,NULL,NULL,NULL,NULL,NULL,0
5892,5.25,West,0,5.25,0,5.25
5921,NULL,NULL,NULL,NULL,NULL,0
5972,5.92,West,NULL,5.92,0,5.92
6061,6.24,South,6.24,NULL,NULL,6.24
6063,6.5,NULL,NULL,NULL,NULL,6.5
6121,6,NULL,NULL,NULL,NULL,6
6139,4.42,South,4.42,0,NULL,4.42
6248,NULL,NULL,NULL,NULL,NULL,0
6266,6.27,South;West,2.09,4.18,NULL,6.27
6348,NULL,NULL,NULL,NULL,NULL,0
6412,4.42,South,4.42,NULL,NULL,4.42
6423,4.8,West,NULL,4.8,NULL,4.8
6578,6.25,South;West,4,2.25,NULL,6.25
6643,5.75,South,5.75,0,NULL,5.75
6691,5.2,South,5.2,NULL,NULL,5.2
6836,3.43,South,3.43,0,NULL,3.43
6941,6,NULL,NULL,NULL,NULL,6
6990,6.615,South;West,3.43,3.185,NULL,6.615
7016,6.105,South;West,4.07,2.035,0,6.105
7024,NULL,NULL,NULL,NULL,NULL,0
7030,5.25,South,5.25,0,NULL,5.25
7108,4.25,South;West,NULL,2,NULL,4.25
7429,7.25,South;West,2.25,5,NULL,7.25
7504,5,South;West,1.5,3.5,NULL,5
7510,6.24,NULL,NULL,NULL,NULL,6.24
7536,6.105,South;West,4.07,2.035,NULL,6.105
7560,5.55,South,5.55,0,0,5.55
7627,5.712,South;West,2.856,2.856,0,5.712
7680,5.5,South;West,NULL,2,NULL,5.5
7719,6.3,South,6.3,NULL,NULL,6.3
7731,5.88,South;West,1.96,3.92,NULL,5.88
7739,5,South,5,0,NULL,5
7741,6.125,South,6.125,0,NULL,6.125
7767,5.92,South,5.92,0,NULL,5.92
7788,NULL,NULL,NULL,NULL,NULL,0
7793,NULL,NULL,NULL,NULL,NULL,0
7800,5.145,South,5.145,0,NULL,5.145
7850,6,South;West,2.5,3.5,NULL,6
7863,6.25,South;West,4,2.25,NULL,6.25
7875,4.1,NULL,NULL,NULL,NULL,4.1
7900,6.27,South;West,2.59,3.68,NULL,6.27
7940,5.25,West,NULL,5.25,NULL,5.25
7965,6.25,South;West,3.25,3,NULL,6.25
7973,4.51,South;West,2.65,1.86,NULL,4.51
7989,6.24,East,NULL,NULL,6.24,6.24
8059,NULL,NULL,NULL,NULL,NULL,0
8084,8.84,South,8.84,0,NULL,8.84
8086,5.635,West,NULL,5.635,NULL,5.635
8092,NULL,NULL,NULL,NULL,NULL,0
8155,6.25,South;West,3,3.25,NULL,6.25
8156,6.7,NULL,NULL,NULL,NULL,6.7
8197,9.6,NULL,NULL,NULL,NULL,9.6
8236,6.25,South;West,4,2.25,NULL,6.25
8243,4.5,NULL,NULL,NULL,NULL,4.5
8317,2.94,South,2.94,0,NULL,2.94
8419,4.07,South,4.07,0,0,4.07
8467,5.18,South,5.18,0,NULL,5.18
8626,6.615,South,6.615,0,NULL,6.615
8645,4.5,NULL,NULL,NULL,NULL,4.5
8741,3.2,South,3.2,NULL,NULL,3.2
8767,4.07,South,4.07,NULL,NULL,4.07
8857,11.13,South;West,1.855,9.275,NULL,11.13
8890,5.64,South;West,3.525,2.115,0,5.64
8995,NULL,NULL,NULL,NULL,NULL,0
9001,6.325,South;West,0.55,5.775,NULL,6.325
9019,2.88,South,2.88,0,NULL,2.88
9052,6,South;West,3.25,2.75,NULL,6
9121,6.125,South;West,2.94,3.185,0,6.125
9134,4.995,South,4.995,NULL,NULL,4.995
9160,4.5,South;West,1.98,2.52,NULL,4.5
9235,5.145,West,5.145,NULL,0,5.145
9248,NULL,NULL,NULL,NULL,NULL,0
9278,6.9,NULL,NULL,NULL,NULL,6.9
9631,4.41,South,4.41,0,NULL,4.41
9647,6.3,NULL,NULL,NULL,NULL,6.3
9729,6.37,South;West,2.45,3.92,NULL,6.37
9737,10.4,South;East,2.6,NULL,7.8,10.4
9932,5.2,South,5.2,NULL,NULL,5.2
9935,NULL,NULL,NULL,NULL,NULL,0
9942,0.7,East,NULL,NULL,0.7,0.7
9971,6.125,South;West,2.205,3.92,NULL,6.125
9982,3.675,South,3.675,NULL,NULL,3.675
